name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_score,was_home,yellow_cards
John_Ruddy_421,0,0,0,0,0,0,0,260,0,0,0,0,0,15,0,0,0,0,0,26,0,0,0,0,1,1,0
John_Stones_262,103,0,0,3,99,0,0,256,0,1,90,0,0,6,0,0,0,7,0,26,0,0,0,0,6,1,0
Jon Gorenc_Stankovic_522,0,0,0,0,0,0,0,254,0,0,0,0,0,1,0,0,0,0,0,26,0,0,0,0,1,1,0
Jonas_Lössl_191,0,0,0,0,0,0,0,254,0,0,0,0,0,1,0,0,0,0,0,26,0,0,0,0,1,1,0
Jonathan_Castro Otto_483,56,0,0,1,43,1,0,260,1,0,90,0,1,15,0,0,0,9,0,26,0,2,0,0,1,1,0
Jonathan_Hogg_201,76,0,0,5,66,0,0,254,3,1,90,0,1,1,0,0,0,12,0,26,0,0,3,0,1,1,0
Jonathan_Walters_81,0,0,0,0,0,0,0,251,0,0,0,0,0,3,0,0,0,0,0,26,0,0,0,0,3,0,0
Jonjoe_Kenny_161,53,0,0,5,38,1,0,259,0,0,90,0,0,18,0,0,0,6,0,26,0,0,1,0,0,0,0
Jonjo_Shelvey_318,0,0,0,0,0,0,0,260,0,0,0,0,0,20,0,0,0,0,0,26,0,0,0,0,1,0,0
Jonny_Evans_222,40,0,0,8,36,0,0,258,1,1,90,0,0,17,0,0,0,3,0,26,0,0,0,2,1,0,0
Jordan_Ayew_505,0,0,0,0,0,0,0,252,0,0,0,0,0,19,0,0,0,0,0,26,0,0,0,0,1,1,0
Jordan_Henderson_249,0,0,0,0,0,0,0,255,0,0,0,0,0,2,0,0,0,0,0,26,0,0,0,0,3,1,0
Jordan_Hugill_420,0,0,0,0,0,0,0,252,0,0,0,0,0,7,0,0,0,0,0,26,0,0,0,0,1,0,0
Jordan_Pickford_154,26,0,0,1,18,0,0,259,0,0,90,0,0,18,0,0,0,5,0,26,1,0,0,0,0,0,0
Jordon_Ibe_38,17,0,0,0,13,2,0,255,1,1,58,0,0,12,0,0,0,2,0,26,0,7,0,0,0,0,0
Jorge Luiz_Frello Filho_459,60,0,0,2,50,1,0,256,2,1,90,0,0,13,0,0,0,4,0,26,0,0,2,1,0,0,1
Jose Luis_Mato Sanmartín_327,0,0,0,0,0,0,0,260,0,0,0,0,0,20,0,0,0,0,0,26,0,0,0,0,1,0,0
Joseph_Gomez_242,0,0,0,0,0,0,0,255,0,0,0,0,0,2,0,0,0,0,0,26,0,0,0,0,3,1,0
Joseph_Willock_566,0,0,0,1,0,0,0,254,0,0,2,0,0,10,0,0,0,0,0,26,0,0,0,0,2,0,0
Joshua_King_45,28,0,0,0,22,2,0,255,0,1,90,0,0,12,0,0,0,2,0,26,0,6,1,0,0,0,0
Joshua_Sims_342,0,0,0,0,0,0,0,257,0,0,0,0,0,5,0,0,0,0,0,26,0,0,0,0,1,1,0
Josh_Benson_583,0,0,0,0,0,0,0,251,0,0,0,0,0,3,0,0,0,0,0,26,0,0,0,0,3,0,0
Josh_Knight_558,0,0,0,0,0,0,0,258,0,0,0,0,0,17,0,0,0,0,0,26,0,0,0,0,1,0,0
Josh_Murphy_106,0,0,0,0,0,0,0,257,0,0,0,0,0,16,0,0,0,0,0,26,0,0,0,0,2,0,0
José Diogo_Dalot Teixeira_294,44,0,0,5,31,0,0,253,1,1,90,0,0,9,0,0,0,7,0,26,0,1,0,1,3,0,0
José Heriberto_Izquierdo Mena_61,0,0,0,0,0,0,0,251,0,0,0,0,0,4,0,0,0,0,0,26,0,0,0,0,1,1,0
José_Holebas_378,33,0,0,6,22,1,0,259,2,1,90,0,0,8,0,0,0,7,0,26,0,0,3,2,1,1,1
João Filipe Iria_Santos Moutinho_475,64,0,0,1,52,0,0,260,3,4,90,0,0,15,0,0,0,11,0,26,0,2,0,0,1,1,0
Juan_Foyth_549,0,0,0,0,0,0,0,258,0,0,0,0,0,11,0,0,0,0,0,26,0,0,0,0,3,1,0
Juan_Mata_297,45,0,0,1,43,2,0,253,0,2,90,0,0,9,0,0,0,5,0,26,0,3,0,0,3,0,0
Julian_Speroni_136,0,0,0,0,0,0,0,252,0,0,0,0,0,19,0,0,0,0,0,26,0,0,0,0,1,1,0
Juninho_Bacuna_208,64,0,0,2,49,1,0,254,4,1,90,0,0,1,0,0,0,7,0,26,0,2,1,2,1,1,0
Junior_Stanislas_36,0,0,0,0,0,0,0,255,0,0,0,0,0,12,0,0,0,0,0,26,0,0,0,0,0,0,0
Jürgen_Locadia_65,12,0,0,0,8,1,0,251,1,1,65,0,0,4,0,0,0,2,0,26,0,0,1,0,1,1,0
Kadeem_Harris_535,0,0,0,0,0,0,0,257,0,0,0,0,0,16,0,0,0,0,0,26,0,0,0,0,2,0,0
Karlan_Grant_585,4,0,0,0,4,0,0,254,0,1,7,0,0,1,0,0,0,1,0,26,0,0,0,0,1,1,0
Karl_Darlow_308,0,0,0,0,0,0,0,260,0,0,0,0,0,20,0,0,0,0,0,26,0,0,0,0,1,0,0
Kasper_Schmeichel_213,24,0,0,0,15,0,0,258,0,0,90,0,0,17,0,0,0,4,0,26,2,0,0,0,1,0,0
Kayne_Ramsay_565,0,0,0,0,0,0,0,257,0,0,0,0,0,5,0,0,0,0,0,26,0,0,0,0,1,1,0
Kazaiah_Sterling_578,0,0,0,0,0,0,0,258,0,0,0,0,0,11,0,0,0,0,0,26,0,0,0,0,3,1,0
Kelechi_Iheanacho_236,10,0,0,0,8,0,0,258,0,0,18,0,0,17,0,0,0,0,0,26,0,0,0,1,1,0,0
Kenneth_Zohore_107,5,0,0,0,2,1,0,257,0,0,28,1,0,16,0,0,0,0,0,26,0,3,0,0,2,0,1
Ken_Sema_446,13,0,0,0,10,0,0,259,0,0,45,0,0,8,0,0,0,4,0,26,0,3,0,0,1,1,0
Kepa_Arrizabalaga_498,33,0,0,0,29,0,0,256,0,0,90,0,0,13,0,0,0,5,0,26,3,0,0,0,0,0,0
Kevin_De Bruyne_273,25,1,0,1,22,1,0,256,0,1,67,0,1,6,0,0,0,3,0,26,0,3,2,0,6,1,0
Kevin_Long_73,0,0,0,0,0,0,0,251,0,0,0,0,0,3,0,0,0,0,0,26,0,0,0,0,3,0,0
Kevin_McDonald_183,0,0,0,0,0,0,0,253,0,0,0,0,0,14,0,0,0,0,0,26,0,0,0,0,0,1,0
Kevin_Mirallas_469,0,0,0,0,0,0,0,259,0,0,0,0,0,18,0,0,0,0,0,26,0,0,0,0,0,0,0
Kieran_Dowell_528,0,0,0,0,0,0,0,259,0,0,0,0,0,18,0,0,0,0,0,26,0,0,0,0,0,0,0
Kieran_Trippier_357,40,0,0,1,37,0,0,258,1,2,90,0,2,11,0,0,0,3,0,26,0,1,0,0,3,1,0
Konstantinos_Mavropanos_10,0,0,0,0,0,0,0,254,0,0,0,0,0,10,0,0,0,0,0,26,0,0,0,0,2,0,0
Kortney_Hause_525,0,0,0,0,0,0,0,260,0,0,0,0,0,15,0,0,0,0,0,26,0,0,0,0,1,1,0
Kurt_Zouma_526,52,0,0,12,44,1,0,259,1,1,90,0,0,18,0,0,0,5,1,26,0,0,0,0,0,0,0
Kyle_Taylor_600,0,0,0,0,0,0,0,255,0,0,0,0,0,12,0,0,0,0,0,26,0,0,0,0,0,0,0
Kyle_Walker-Peters_358,1,0,0,0,1,0,0,258,0,0,2,0,0,11,0,0,0,0,0,26,0,0,1,0,3,1,0
Kyle_Walker_265,56,0,0,7,55,0,0,256,0,0,90,0,0,6,0,0,0,3,0,26,0,2,0,0,6,1,0
Laurent_Depoitre_210,6,0,0,0,2,0,0,254,1,1,24,0,0,1,0,0,0,0,0,26,0,0,0,1,1,1,0
Laurent_Koscielny_3,41,0,0,14,37,0,0,254,0,0,90,0,0,10,0,0,0,7,0,26,0,0,2,0,2,0,0
Lazar_Markovic_594,0,0,0,0,0,0,0,253,0,0,0,0,0,14,0,0,0,0,0,26,0,0,0,0,0,1,0
