name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,id,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,transfers_in,yellow_cards
Cameron_Brannagan,0,0,0,0,0,0,0,357,0,21498,0,0,0,0,13,0,0,0,0,0,36,0,0,0,0,0,0,6,0
Cameron_Carter-Vickers,0,0,0,0,0,0,0,360,0,21812,0,0,0,0,20,0,0,0,0,0,36,0,0,0,0,0,1,12,0
Carlos_De Pena,0,0,0,0,0,0,0,354,0,21575,0,0,0,0,4,0,0,0,0,0,36,0,0,0,0,0,3,5,0
Carl_Jenkinson,0,0,0,0,0,0,0,351,0,21279,0,0,0,0,11,0,0,0,0,0,36,0,0,0,0,0,2,6,0
Carl_Jenkinson,0,0,0,0,0,0,0,257,0,21278,0,0,0,0,13,0,0,0,0,0,36,0,0,0,0,2,0,6,0
Carl_Stewart,0,0,0,0,0,0,0,356,0,21945,0,0,0,0,8,0,0,0,0,0,36,0,0,0,0,0,3,4,0
Cesc_F�bregas,114,1,0,2,96,0,0,354,1,21370,6,90,0,0,12,0,0,0,6,0,36,0,0,2,2,0,3,2779,0
Charlie_Adam,0,0,0,0,0,0,0,352,0,21636,0,0,0,0,2,0,0,0,0,0,36,0,0,0,0,2,2,26,0
Charlie_Austin,0,0,0,0,0,0,0,357,0,21622,0,0,0,0,9,0,0,0,0,0,36,0,0,0,0,0,0,112,0
Charlie_Austin,0,0,0,0,0,0,0,257,0,21621,0,0,0,0,1,0,0,0,0,0,36,0,0,0,0,2,0,112,0
Charlie_Daniels,46,0,0,1,38,1,0,352,0,21320,0,90,0,0,14,0,0,0,4,0,36,0,1,0,0,2,2,23885,0
Charlie_Rowan,0,0,0,0,0,0,0,356,0,21942,0,0,0,0,8,0,0,0,0,0,36,0,0,0,0,0,3,25,0
